name,abv_level
Scape Goat Pale Ale (2010),low
Montana Trout Slayer Ale (2009),low
Moose Drool Brown Ale (2009),med
Arcus IPA,high
Wavemaker,med
Jack Pine Savage,med
Forest Fire Imperial Smoked Rye,high
Bad Axe Imperial IPA,high
Morning Wood,med
Bark Bite IPA,high
Jalapeno Pale Ale,med
Blown Out Brown,med
Single Hop Ale,med
Sawtooth Ale,med
Saucy Intruder,high
Deception,low
Blackmarket Rye IPA,high
Black Market Hefeweizen,low
Aftermath Pale Ale,med
American India Red Ale,high
American Red Porter,high
American Red Saison,high
Colorado Red Ale,high
Saddle Bronc Brown Ale,low
Bomber Mountain Amber Ale,low
Flying Sailor,high
Nordskye ,low
North Third Stout,med
Honey Lav,med
Coconut Brown Ale,high
51K IPA,high
Grand Rabbits,med
1800 Big Log Wheat (2012),low
Double Play Pilsner,high
Brewerhood Brown Ale,med
Last Call Imperial Amber Ale,high
Pernicious Double IPA,high
6-4-3 Double Play Pilsner,med
N Street Drive-In 50th Anniversary IPA,high
467 Ethan's Stout,low
1335 Wicked Snout,med
543 Skull Creek Fresh Hopped Pale Ale,low
1327 Pod's ESB,med
1327 Pod's ESB,med
1327 Pod's ESB,med
834 Happy As Ale,low
Yellow Collar,med
Green Collar,med
Quarter Mile Double IPA,high
Full Nelson Pale Ale,med
Steel Wheels ESB,med
Blue Mountain Classic Lager,med
Full Nelson Pale Ale (2010),med
Kölsch 151,low
Professor Black,high
Little Boss,high
Van Dayum!,high
Spirit Animal,high
Toxic Sludge,high
Blue Point White IPA,med
Blue Point Summer Ale,low
Toasted Lager,med
Bohemian Export Lager,med
Altus Bohemes Altbier,med
Cherny Bock,low
Czech Pilsner,low
Viennese Lager,low
Mad Manatee IPA,med
Killer Whale Cream Ale,med
Duke's Cold Nose Brown Ale,med
Longhop IPA,low
Lucky Buck,low
Bomb Lager (New Recipe),med
Bomb Lager (Old Recipe),low
Firestarter India Pale Ale,high
Kilt Dropper Scotch Ale,high
Wood Splitter Pilsner,low
Gyptoberfest,med
Farmer Wirtz India Pale Ale,high
Slow & Steady Golden Ale,low
Pink-I Raspberry IPA,high
Moe's Original Bar B Que 'Bama Brew Golden Ale,low
Live Local Golden Ale,low
Screaming Eagle Special Ale ESB,low
Dirtbag Dunkel,low
Kindler Pale Ale,med
Mistress Winter Wheat,med
Tent Pole Vanilla Porter,med
Awry Rye Pale Ale,med
Demshitz Brown Ale,med
Wood Splitter Pilsner (2012),low
Brush Creek Blonde,low
Firestarter India Pale Ale,high
Noche Dulce,high
Porch Rocker,low
Rebel IPA,med
Cold Snap,med
Samuel Adams Winter Lager,med
Boston Lager,low
Boston Lager,low
Samuel Adams Octoberfest,med
Samuel Adams Summer Ale,med
Boston Lager,low
Hazed & Infused,low
Hoopla Pale Ale,med
Hazed & Infused (2010),low
Heavy Lifting,med
1492,med
Mango Ginger,med
Passenger,low
Plum St. Porter,med
Plum St. Porter,med
Bozone HopZone IPA,high
Bozone Hefe Weizen,med
Bozone Select Amber Ale,med
Evil Owl,med
Post Time Kölsch,low
Agave Wheat,low
SummerBright Ale,low
Lucky U IPA,med
Avalanche Ale,med
"You're My Boy, Blue",low
Last Stop IPA,high
Rollin Dirty Red Ale,low
Are Wheat There Yet?,med
Insert Hop Reference,med
Manitou Amber,med
Belfort,high
Star Runner,med
Tart Side of the Barrel,high
Linnaeus Mango IPA,med
Beasts A'Burnin',high
Verdun,high
Barrel Aged Triomphe,med
